pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
39,Long Beach, California,469450,462257,0.015600000000000001,50.3,130.3,9347,3609,33.8092,-118.1553,Long Beach California
40,Omaha, Nebraska,466893,408958,0.1417,133.2,345.0,3356,1296,41.2644,-96.0451,Omaha Nebraska
41,Raleigh, North Carolina,464758,403892,0.1507,145.1,375.8,3163,1221,35.8306,-78.6418,Raleigh North Carolina
42,Colorado Springs, Colorado,464474,416427,0.11539999999999999,195.6,506.6,2378,918,38.8673,-104.7607,Colorado Springs Colorado
43,Miami, Florida,463347,399457,0.15990000000000001,36.0,93.2,12599,4865,25.7752,-80.2086,Miami Florida
44,Virginia Beach, Virginia,450435,437994,0.028399999999999998,244.7,633.8,1850,710,36.7800,-76.0252,Virginia Beach Virginia
45,Oakland, California,425195,390724,0.0882,55.9,144.8,7514,2901,37.7698,-122.2257,Oakland California
46,Minneapolis, Minnesota,422331,382578,0.1039,54.0,139.9,7660,2960,44.9633,-93.2683,Minneapolis Minnesota
47,Tulsa, Oklahoma,401800,391906,0.0252,196.8,509.7,2048,791,36.1279,-95.9023,Tulsa Oklahoma
48,Arlington, Texas,396394,365438,0.08470000000000001,95.8,248.1,4100,1600,32.7007,-97.1247,Arlington Texas
49,New Orleans, Louisiana,393292,343829,0.1439,169.4,438.7,2311,892,30.0534,-89.9345,New Orleans Louisiana
50,Wichita, Kansas,390591,382368,0.0215,160.4,415.4,2431,939,37.6907,-97.3459,Wichita Kansas
51,Cleveland, Ohio,385525,396815,,77.7,201.2,4965,1917,41.4785,-81.6794,Cleveland Ohio
52,Tampa, Florida,385430,335709,0.1481,113.4,293.7,3326,1284,27.9701,-82.4797,Tampa Florida
53,Bakersfield, California,380874,347483,0.09609999999999999,148.8,385.4,2529,976,35.3212,-119.0183,Bakersfield California
54,Aurora, Colorado,366623,325078,0.1278,153.5,397.6,2356,910,39.6880,-104.6897,Aurora Colorado
55,Anaheim, California,352497,336265,0.0483,50.0,129.5,7021,2711,33.8555,-117.7601,Anaheim California
56,Honolulu, Hawaii,350395,337256,0.039,60.5,156.7,5815,2245,21.3243,-157.8476,Honolulu Hawaii
57,Santa Ana, California,334136,324528,0.0296,27.1,70.2,12333,4762,33.7363,-117.8830,Santa Ana California
58,Riverside, California,327728,303871,0.0785,81.2,210.3,3999,1544,33.9381,-117.3932,Riverside California
59,Corpus Christi, Texas,325605,305215,0.0668,174.6,452.2,1866,720,27.7543,-97.1734,Corpus Christi Texas
60,Lexington, Kentucky,321959,295803,0.08839999999999999,283.6,734.5,1123,434,38.0407,-84.4583,Lexington Kentucky
61,Stockton, California,310496,291707,0.0644,61.7,159.8,4977,1922,37.9763,-121.3133,Stockton California
62,St. Louis, Missouri,308626,319294,,62.0,160.6,5023,1939,38.6357,-90.2446,St. Louis Missouri
63,Saint Paul, Minnesota,306621,285068,0.0756,52.0,134.7,5815,2245,44.9489,-93.1041,Saint Paul Minnesota
64,Henderson, Nevada,302539,257729,0.1739,104.7,271.2,2798,1080,36.0097,-115.0357,Henderson Nevada
65,Pittsburgh, Pennsylvania,302407,305704,,55.4,143.5,5481,2116,40.4398,-79.9766,Pittsburgh Pennsylvania
66,Cincinnati, Ohio,301301,296943,0.0147,77.4,200.5,3860,1490,39.1402,-84.5058,Cincinnati Ohio
67,Anchorage, Alaska,294356,291826,0.0087,1706.6,4420.1,175,68,61.1743,-149.2843,Anchorage Alaska
68,Greensboro, North Carolina,290222,269666,0.0762,128.3,332.3,2237,864,36.0951,-79.8270,Greensboro North Carolina
69,Plano, Texas,286143,259841,0.1012,71.7,185.7,3990,1540,33.0508,-96.7479,Plano Texas
70,Newark, New Jersey,285154,277140,0.028900000000000002,24.1,62.4,11691,4514,40.7242,-74.1726,Newark New Jersey
71,Lincoln, Nebraska,284736,258379,0.102,92.1,238.5,3044,1175,40.8105,-96.6803,Lincoln Nebraska
72,Orlando, Florida,280257,238300,0.1761,105.2,272.5,2635,1017,28.4166,-81.2736,Orlando Florida
73,Irvine, California,277453,212375,0.3064,65.6,169.9,4057,1566,33.6784,-117.7713,Irvine California
74,Toledo, Ohio,276491,287208,,80.7,209.0,3451,1332,41.6641,-83.5819,Toledo Ohio
75,Jersey City, New Jersey,270753,247597,0.0935,14.8,38.3,17848,6891,40.7114,-74.0648,Jersey City New Jersey
76,Chula Vista, California,270471,243916,0.10890000000000001,49.6,128.5,5387,2080,32.6277,-117.0152,Chula Vista California
77,Durham, North Carolina,267743,228330,0.1726,109.8,284.4,2395,925,35.9811,-78.9029,Durham North Carolina
78,Fort Wayne, Indiana,265904,253691,0.0481,110.6,286.5,2391,923,41.0882,-85.1439,Fort Wayne Indiana
79,St. Petersburg, Florida,263255,244769,0.0755,61.8,160.1,4223,1631,27.7620,-82.6441,St. Petersburg Florida
80,Laredo, Texas,260654,236091,0.10400000000000001,101.1,261.8,2544,982,27.5604,-99.4892,Laredo Texas
81,Buffalo, New York,258612,261310,,40.4,104.6,6359,2455,42.8925,-78.8597,Buffalo New York
82,Madison, Wisconsin,255214,233209,0.0944,77.0,199.4,3280,1270,43.0878,-89.4299,Madison Wisconsin
83,Lubbock, Texas,253888,229573,0.1059,124.6,322.7,2027,783,33.5656,-101.8867,Lubbock Texas
84,Chandler, Arizona,253458,236123,0.07339999999999999,64.9,168.1,3813,1472,33.2829,-111.8549,Chandler Arizona
85,Scottsdale, Arizona,249950,217385,0.14980000000000002,183.9,476.3,1341,518,33.6843,-111.8611,Scottsdale Arizona
86,Reno, Nevada,248853,225221,0.10490000000000001,107.3,277.9,2286,883,39.5491,-119.8499,Reno Nevada
87,Glendale, Arizona,246709,226721,0.0882,59.1,153.1,4161,1607,33.5331,-112.1899,Glendale Arizona
88,Norfolk, Virginia,244703,242803,0.0078000000000000005,53.3,138.0,4599,1776,36.9230,-76.2446,Norfolk Virginia
89,Winston–Salem, North Carolina,244605,229617,0.0653,132.5,343.2,1828,706,36.1027,-80.2610,Winston–Salem North Carolina
90,North Las Vegas, Nevada,242975,216961,0.1199,98.0,253.8,2436,941,36.2857,-115.0939,North Las Vegas Nevada
91,Gilbert, Arizona,242354,208453,0.16260000000000002,68.0,176.1,3487,1346,33.3103,-111.7431,Gilbert Arizona
92,Chesapeake, Virginia,240397,222209,0.0819,338.5,876.7,703,271,36.6794,-76.3018,Chesapeake Virginia
93,Irving, Texas,240373,216290,0.11130000000000001,67.0,173.5,3557,1373,32.8577,-96.9700,Irving Texas
94,Hialeah, Florida,239673,224669,0.0668,21.5,55.7,10995,4245,25.8699,-80.3029,Hialeah Florida
95,Garland, Texas,238002,226876,0.049,57.0,147.6,4122,1592,32.9098,-96.6303,Garland Texas
96,Fremont, California,234962,214089,0.0975,77.5,200.7,3008,1161,37.4945,-121.9412,Fremont California
97,Richmond, Virginia,227032,204214,0.1117,59.8,154.9,3732,1441,37.5314,-77.4760,Richmond Virginia
98,Boise, Idaho,226570,205671,0.1016,82.1,212.6,2718,1049,43.6002,-116.2317,Boise Idaho
99,Baton Rouge, Louisiana,225374,229493,,85.9,222.5,2651,1024,30.4422,-91.1309,Baton Rouge Louisiana
100,Des Moines, Iowa,217521,203433,0.0693,88.9,230.2,2424,936,41.5726,-93.6102,Des Moines Iowa
101,Spokane, Washington,217108,208916,0.0392,68.7,177.9,3144,1214,47.6669,-117.4333,Spokane Washington
102,San Bernardino, California,216995,209924,0.0337,61.5,159.3,3516,1358,34.1416,-117.2936,San Bernardino California
103,Modesto, California,214221,201165,0.0649,43.0,111.4,4934,1905,37.6375,-121.0030,Modesto California
104,Tacoma, Washington,213418,198397,0.0757,49.7,128.7,4251,1641,47.2522,-122.4598,Tacoma Washington
105,Fontana, California,211815,196069,0.0803,43.0,111.4,4876,1883,34.1090,-117.4629,Fontana California
106,Santa Clarita, California,210888,176320,0.1961,52.8,136.8,3446,1331,34.4030,-118.5042,Santa Clarita California
107,Birmingham, Alabama,210710,212237,,146.1,378.4,1452,561,33.5274,-86.7990,Birmingham Alabama
108,Oxnard, California,210037,197899,0.0613,26.9,69.7,7729,2984,34.2023,-119.2046,Oxnard California
109,Fayetteville, North Carolina,209889,200564,0.04650000000000001,147.7,382.5,1386,535,35.0828,-78.9735,Fayetteville North Carolina
110,Rochester, New York,208046,210565,,35.8,92.7,5835,2253,43.1699,-77.6169,Rochester New York
111,Moreno Valley, California,207226,193365,0.0717,51.3,132.9,4006,1547,33.9233,-117.2057,Moreno Valley California
112,Glendale, California,203054,191719,0.0591,30.4,78.7,6606,2551,34.1814,-118.2458,Glendale California
113,Yonkers, New York,202019,195976,0.0308,18.0,46.6,11156,4307,40.9459,-73.8674,Yonkers New York
114,Huntington Beach, California,201874,189992,0.0625,26.9,69.7,7459,2880,33.6906,-118.0093,Huntington Beach California
115,Aurora, Illinois,200965,197899,0.0155,44.9,116.3,4479,1729,41.7635,-88.2901,Aurora Illinois
116,Salt Lake City, Utah,200544,186440,0.0756,111.2,288.0,1742,673,40.7769,-111.9310,Salt Lake City Utah
117,Amarillo, Texas,199826,190695,0.0479,101.4,262.6,1968,760,35.1999,-101.8302,Amarillo Texas
118,Montgomery, Alabama,199518,205764,,159.8,413.9,1252,483,32.3472,-86.2661,Montgomery Alabama
