pop_rank,city,state,pop_estimate,census,pop_delta,pop_density__mi,pop_density__km2,land_area__mi,land_area__km2,latitude,longitude,location
173,Escondido, California,151969,143911,0.055999999999999994,37.1,96.1,4087,1578,33.1331,-117.0740,Escondido California
174,Paterson, New Jersey,148678,146199,0.017,8.4,21.8,17500,6800,40.9148,-74.1628,Paterson New Jersey
175,Joliet, Illinois,148462,147433,0.006999999999999999,64.4,166.8,2302,889,41.5177,-88.1488,Joliet Illinois
176,Naperville, Illinois,147682,141853,0.041100000000000005,38.7,100.2,3802,1468,41.7492,-88.1620,Naperville Illinois
177,Rockford, Illinois,147051,152871,,63.5,164.5,2325,898,42.2588,-89.0646,Rockford Illinois
178,Torrance, California,146758,145438,0.0091,20.5,53.1,7180,2770,33.8350,-118.3414,Torrance California
179,Bridgeport, Connecticut,146579,144229,0.0163,16.1,41.7,9064,3500,41.1874,-73.1958,Bridgeport Connecticut
180,Savannah, Georgia,146444,136286,0.0745,103.6,268.3,1417,547,32.0025,-81.1536,Savannah Georgia
181,Killeen, Texas,145482,127921,0.1373,53.5,138.6,2680,1030,31.0777,-97.7320,Killeen Texas
182,Bellevue, Washington,144444,122363,0.1805,33.5,86.8,4221,1630,47.5979,-122.1565,Bellevue Washington
183,Mesquite, Texas,143949,139824,0.029500000000000002,47.2,122.2,3045,1176,32.7629,-96.5888,Mesquite Texas
184,Syracuse, New York,143396,145170,,25.0,64.7,5735,2214,43.0410,-76.1436,Syracuse New York
185,McAllen, Texas,142696,129877,0.0987,58.4,151.3,2435,940,26.2322,-98.2464,McAllen Texas
186,Pasadena, California,142647,137122,0.0403,23.0,59.6,6176,2385,34.1606,-118.1396,Pasadena California
187,Orange, California,140560,136416,0.0304,25.4,65.8,5532,2136,33.7870,-117.8613,Orange California
188,Fullerton, California,140392,135161,0.0387,22.4,58.0,6282,2425,33.8857,-117.9280,Fullerton California
189,Dayton, Ohio,140371,141527,,55.7,144.3,2522,974,39.7774,-84.1996,Dayton Ohio
190,Miramar, Florida,140328,122041,0.14980000000000002,29.4,76.1,4709,1818,25.9770,-80.3358,Miramar Florida
191,Olathe, Kansas,137472,125872,0.0922,60.9,157.7,2225,859,38.8843,-94.8195,Olathe Kansas
